transaction_id,user_id,timestamp,amount,location_city,lat,lon,ip_address,device_id,bank,merchant_category,is_fraud,fraud_type
TXN100000,U003237,2025-01-01 00:00:19,333.41,Lucknow,26.913228443884847,80.92291807370368,49.177.213.213,DEV003237,SBI,travel,0,none
TXN100001,U004813,2025-01-01 00:04:37,298.19,Silchar,24.772332292851104,92.8857975125133,49.228.174.120,DEV004813,ICICI,travel,0,none
TXN100002,U000302,2025-01-01 00:15:36,442.35,Lucknow,26.840978358835258,80.92267295050198,49.69.115.11,DEV000302,Kotak,utility_bill,0,none
TXN100003,U004937,2025-01-01 00:15:57,1004.84,Pune,18.46367665271293,73.86054028627512,49.25.191.238,DEV004937,ICICI,rent,0,none
TXN100004,U005753,2025-01-01 00:22:58,377.58,Mumbai,19.103911809887613,72.94086476428237,49.92.193.36,DEV005753,PNB,travel,0,none
TXN100005,U000973,2025-01-01 00:32:11,2775.09,Guwahati,26.214580267279068,91.71433844796479,49.221.17.150,DEV000973,HDFC,entertainment,0,none
TXN100006,U004580,2025-01-01 00:32:30,103.03,Chennai,13.132802217209775,80.22498788686721,49.162.207.198,DEV004580,Paytm_Bank,travel,0,none
TXN100007,U004155,2025-01-01 00:37:43,156.75,Ahmedabad,23.074063425298306,72.43489358396823,49.156.240.94,DEV004155,SBI,ecommerce,0,none
TXN100008,U002118,2025-01-01 00:39:08,2528.73,Mumbai,19.004335542642973,72.96566838067118,49.188.64.114,DEV002118,Paytm_Bank,peer_transfer,0,none
TXN100009,U005822,2025-01-01 00:42:21,261.49,Bengaluru,12.88865764152411,77.62894192740839,49.250.197.162,DEV005822,ICICI,utility_bill,0,none
TXN100010,U003189,2025-01-01 00:46:20,220.31,Mumbai,19.073094245679542,72.85449421412385,49.105.130.48,DEV003189,HDFC,peer_transfer,0,none
TXN100011,U005742,2025-01-01 00:48:24,1255.46,Lucknow,26.85841146636738,80.94265003606557,49.25.138.182,DEV005742,HDFC,travel,0,none
TXN100012,U005990,2025-01-01 00:55:06,10.0,Guwahati,26.116116086455143,91.70242880475361,49.200.211.27,DEV005990,Axis,entertainment,0,none
TXN100013,U001054,2025-01-01 00:55:39,938.26,Hyderabad,17.294452760783148,78.49156123477937,49.6.70.139,DEV001054,ICICI,grocery,0,none
