transaction_id,user_id,timestamp,amount,txns_last_1min,txns_last_5min,distinct_ips_last_1hr,km_from_prev,minutes_since_prev,implied_speed_kmh,is_new_device,amount_zscore,is_fraud,fraud_type
TXN101543,U000001,2025-01-02 06:58:47,226.44,1,1,1,0.0,9999.0,0.0,False,0.0,0,none
TXN105450,U000001,2025-01-04 22:05:30,217.25,1,1,1,18.09100715947878,3786.7166666666667,0.2866494974719683,False,-0.1388741972043823,0,none
TXN107961,U000001,2025-01-06 19:43:58,263.47,1,1,1,11.916036880737215,2738.4666666666667,0.2610812180213622,False,1.7012330037494972,0,none
TXN108200,U000001,2025-01-06 23:18:54,139.45,1,1,1,6.418098214288398,214.93333333333334,1.7916527273137588,False,-1.8472226876627784,0,none
TXN109863,U000001,2025-01-08 08:51:33,170.26,1,1,1,10.60680012729203,2012.65,0.3162040134337921,False,-0.8485113159883579,0,none
TXN110298,U000001,2025-01-08 14:25:55,221.74,1,1,1,9.592823133449414,334.3666666666667,1.7213719110964956,False,0.4148452440652978,0,none
TXN131328,U000001,2025-01-23 18:39:28,244.0,1,1,1,11.853033608189321,21853.55,0.0325430887197439,False,0.87694844628902,0,none
TXN135499,U000001,2025-01-26 18:52:21,161.04,1,1,1,12.634802899149697,4332.883333333333,0.17496159384604906,False,-1.1661179288957573,0,none
TXN137809,U000001,2025-01-28 14:13:04,171.45,1,1,1,15.506081955351407,2600.7166666666667,0.3577340543264681,False,-0.8045542690228658,0,none
TXN142076,U000001,2025-01-31 16:37:39,276.95,1,1,1,11.872281481063979,4464.583333333333,0.15955282625041653,False,1.6216269384257656,0,none
TXN146777,U000001,2025-02-03 22:39:22,105.39,1,1,1,4.4964413909421115,4681.716666666666,0.057625546923285274,False,-1.921537573820752,0,none
TXN154047,U000001,2025-02-09 09:45:22,193.3,1,1,1,10.497071949427703,7866.0,0.08006919869891459,False,-0.12546461391028702,0,none
TXN166362,U000001,2025-02-18 09:07:42,127.85,1,1,1,13.04462386318244,12922.333333333334,0.06056781013162842,False,-1.3423378098639471,0,none
TXN175778,U000001,2025-02-24 20:54:56,225.16,1,1,1,14.171365755777526,9347.233333333334,0.09096616239528825,False,0.6069108378594066,0,none
TXN180378,U000001,2025-02-28 09:55:51,109.6,1,1,1,3.175285101106846,5100.916666666667,0.037349582146949556,False,-1.5806610413959468,0,none
TXN183942,U000001,2025-03-02 20:01:29,178.66,1,1,1,5.418944004718722,3485.633333333333,0.09327907131648673,False,-0.2186902336291828,0,none
TXN185697,U000001,2025-03-04 07:46:15,171.72,1,1,1,16.2583802933566,2144.766666666667,0.4548293447312354,False,-0.34607677748638505,0,none
TXN187150,U000001,2025-03-05 08:50:23,153.07,1,1,1,16.12856883780279,1504.1333333333334,0.6433699119768863,False,-0.7001791978774364,0,none
TXN192599,U000001,2025-03-09 06:49:28,194.85,1,1,1,13.370176513746776,5639.083333333333,0.14225904165714995,False,0.17011335712704484,0,none
TXN203453,U000001,2025-03-17 07:19:29,257.48,1,1,1,10.422831960989265,11550.016666666666,0.054144503484931994,False,1.4005633092081613,0,none
TXN219182,U000001,2025-03-28 15:33:25,186.72,1,1,1,4.43324158393904,16333.933333333332,0.016284779030750447,False,-0.07609262233586686,0,none
TXN219931,U000001,2025-03-29 07:25:17,107.41,1,1,1,2.426097685711941,951.8666666666667,0.152926734636556,False,-1.6225089872959157,0,none
TXN100076,U000002,2025-01-01 06:30:56,20.68,1,1,1,0.0,9999.0,0.0,False,0.0,0,none
TXN124861,U000002,2025-01-19 05:43:02,239.27,1,1,1,12.09146467962009,25872.1,0.028041321762717578,False,3.003393742872453,0,none
TXN130732,U000002,2025-01-23 11:01:01,118.86,1,1,1,4.516029407482398,6077.983333333334,0.04458086664419018,False,-0.10152239563933221,0,none
TXN138033,U000002,2025-01-28 17:50:47,118.91,1,1,1,9.89547702626129,7609.766666666666,0.07802192203558726,False,-0.08226368260342319,0,none
TXN140231,U000002,2025-01-30 10:17:03,78.84,1,1,1,12.199924585107388,2426.266666666667,0.3016962171400958,False,-0.5690249661452841,0,none
